SteamID,Name,Path,GamePathName
1046930,Dota Underlords,None,Underlords
12120,Grand Theft Auto: San Andreas,None,Grand Theft Auto San Andreas
228980,Steamworks Common Redistributables,None,Steamworks Shared
239140,Dying Light,None,Dying Light
261550,Mount & Blade II: Bannerlord,None,Mount & Blade II Bannerlord
271590,Grand Theft Auto V,None,Grand Theft Auto V
275850,No Man's Sky,None,No Man's Sky
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,None,MGS_TPP
289070,Sid Meier's Civilization VI,None,Sid Meier's Civilization VI
292030,The Witcher 3: Wild Hunt,None,The Witcher 3
367670,Controller Companion,None,Controller Companion
377160,Fallout 4,None,Fallout 4
38400,Fallout,None,Fallout
38410,Fallout 2,F:\Game\Steam\steamapps\common\Fallout 2\data\SAVEGAME,Fallout 2
397540,Borderlands 3,None,Borderlands 3
413150,Stardew Valley,None,Stardew Valley
435150,Divinity: Original Sin 2,None,Divinity Original Sin 2
455980,Judgment: Apocalypse Survival Simulation,None,Judgment
489830,The Elder Scrolls V: Skyrim Special Edition,None,Skyrim Special Edition
535930,Two Point Hospital,None,TPH
607380,Fences,None,Fences
730,Counter-Strike: Global Offensive,None,Counter-Strike Global Offensive
779340,Total War: THREE KINGDOMS,None,Total War THREE KINGDOMS
814380,Sekiro™: Shadows Die Twice,C:\Users\Sayi1\AppData\Roaming\Sekiro,Sekiro
921570,OCTOPATH TRAVELER,None,OCTOPATH TRAVELER
994280,古剑奇谭三(Gujian3),None,Gujian3
